delist_tab,month_count,_201901,_201902,_201903,_201904,_201905,_201911,_201912,_202007,_202008,_202009,_202010,_202011,_202012,_202101,_202102,_202103,_202104,_202105,_202106,_202107,_202108,_202109,_202110,_202111,_202112,_202201,_202202,_202203,_202204,_202205,_202206,_202207,_202208,_202209,_202210,_202211,_202212,_202301,_202302,_202303,_202304,_202305,_201906,_201907,_201908,_201909,_201910,_202001,_202003,_202004,_202005,_202006,_202002,pfc5_count,atc_count,max_audit,min_audit,median_audit,audit_now,max_prv,min_prv,median_prv,prv_now,max_city,min_city,median_city,city_now,atc1_1,atc1_2,atc1_3,atc1_4,atc1_5,atc1_6,atc1_7,atc1_8,atc1_9,atc1_10,atc1_11,atc1_12,atc1_13,atc1_14,atc1_15,atc1_16,mnflg_1,mnflg_2,vbp_flag_1,vbp_flag_2,VBP_Batch_1,VBP_Batch_2,VBP_Batch_3,VBP_Batch_4,VBP_Batch_5,VBP_Batch_6,VBP_Batch_7,VBP_Batch_8,VBP_Batch_9,VBP_Batch_10,VBP_Batch_11,VBP_Batch_12,VBP_time_1,VBP_time_2,VBP_time_3,VBP_time_4,VBP_time_5,VBP_time_6,VBP_time_7,NRDL_1,NRDL_2,NRDL_LIMTT_1,ENTRY_TIME_1,ENTRY_TIME_2,ENTRY_TIME_3,ENTRY_TIME_4
1,0.019230769230769232,1.3065888349570528e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930798324068383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.007035730039700045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
1,0.5576923076923077,2.4771679940466717e-05,0.00018809516241425606,0.00010766740059414779,3.423401014666412e-05,7.999742581161602e-05,0.00011976930542437667,9.390923110466302e-05,5.549162759079742e-05,2.9049734382821335e-05,5.714228243169614e-05,5.593588000037222e-05,2.654830427895405e-05,3.9272584606071654e-05,2.5483370135287826e-05,7.437529822401984e-05,0.00010057588482103125,0.00010257836160947022,7.439811030079206e-05,5.4721705308485986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001753184564698571,3.690460178615791e-05,0.00011172751458806057,9.427450789898486e-05,7.254479564233358e-05,7.762358308628345e-05,0.0001622315865981355,7.357021381397667e-05,5.0292673547378433e-05,7.879579153864392e-05,0.00019608149990797612,0.2222222222222222,0.007035730039700045,0.07142857142857142,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3298668070272737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004411116012351125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005952079443522621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.004962505513895016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.09615384615384616,1.590028740953027e-05,1.1029556647443228e-05,1.5324138997174465e-06,0.0,3.151103003582055e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777163712000256e-06,4.909362200521755e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017975297750330833,0.017857142857142856,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1809128604246907e-06,0.0,0.0,0.07407407407407407,0.009726510807234232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.13461538461538464,4.605801688076439e-05,0.00010355249661497267,3.587055301284853e-05,2.5960554532148718e-05,3.0656493628069483e-05,0.0,0.0,0.0,0.0,0.0,3.207018538902907e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1275809367283977e-05,2.431090516149283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.006285840317600353,0.08928571428571427,0.0,0.008928571428571428,0.0,0.16666666666666669,0.0,0.01666666666666667,0.0,0.020161290322580645,0.0,0.002222222222222222,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
1,0.3461538461538462,0.0,1.8159775086194405e-05,0.0,0.0,2.785788689268474e-05,0.0,1.1850180994102916e-05,0.0,0.0,4.729799340444996e-06,1.1158739382488112e-05,9.76208858688408e-06,4.766072622272446e-05,2.8357095313628754e-05,5.951484344877385e-06,0.0,3.993377822389216e-06,0.0,0.0,0.0,0.0,7.901937425935689e-06,1.1873043859259611e-05,9.019578146419934e-06,7.575862555466672e-06,6.388383607610282e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.639585373071328e-05,0.0,0.0,0.0,0.0,0.0,1.2160982508547e-05,0.0,2.445839375538959e-05,2.4862920641773713e-05,0.037037037037037035,0.02282752536391707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.2884615384615385,4.5412603475306244e-05,5.252965615423719e-06,7.3693784437412e-05,2.3837101033023702e-05,1.2209188925743352e-05,2.792667566973424e-05,5.64074067856566e-05,0.0,1.766537901658054e-06,1.4189398021334988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.110534945414466e-06,1.3724224562441414e-05,4.650996613528195e-05,2.8382462190186856e-05,2.5549063593735457e-05,2.705425188671431e-06,0.0,0.0,0.0,1.6880793236081773e-06,0.0,0.2222222222222222,0.00141155712395236,0.03571428571428571,0.0,0.017857142857142856,0.0,0.06666666666666668,0.0,0.0,0.0,0.012096774193548387,0.0,0.0044444444444444444,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.0,1.1199332871060452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25925925925925924,0.0060211733568592855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.958102544614674e-05,4.1812054091273594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0013233348037053375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028861235575395363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.048257609175121306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
